,Colombo Costruzioni S.p.A.,Impresa Percassi,Impresa Pizzarotti & C. S.p.A.,De Sanctis Costruzioni SpA,Techbau S.p.A.,Carron Spa,Gruppo ICM,Webuild,CMB Società cooperativa Muratori e Braccianti di Carpi,csc costruzioni sa,Italiana Costruzioni SpA,Ghella,Itinera,Rizzani de Eccher,Ing.Ferrari S.p.A.,COGEFA SPA,Toto Costruzioni Generali,BORIO MANGIAROTTI SPA Developer e General Contractor,Todini Costruzioni Generali S.p.A.,Moretti Modular Contractor,Impresa CEV S.p.A.,Impresa di costruzioni Albini e Castelli,Ediltecno Restauri,IMPRESA COSTRUZIONI GRASSI & CRESPI S.R.L.,COIMA,AbitareIn S.p.A.,DI VINCENZO DINO & C. S.P.A.,Setten Genesio S.p.A.,Amplia Infrastructures,Garc SpA,Co.Ge.Fa. S.p.A.,Secap S.p.a.,Gruppo Building,MANELLI IMPRESA S.p.A.,Tecne - Gruppo Autostrade per l'Italia,ANAS SpA,Astaldi,Ghella ANZ,Bonatti,Ghella Abergeldie Joint Venture (GAJV),Salcef Group,Italferr S.p.A.,Salini Impregilo,Autostrade per l'Italia,Impresa CEV | Impresa Generale di Costruzioni,MILANI SPA,Tiemme Costruzioni Edili S.p.a.,COSTIM,PERCASSI,VITALI SPA,PIZZAROTTI SA,Gruppo Ferrovie dello Stato Italiane,ITI Impresa Generale Spa,ICI Italiana Costruzioni Infrastrutture SpA,Cosedil S.p.A,SALC S.p.A.,ASTM,Cimolai Group,Sina,Following,Holding Terra Moretti,Sangalli SPA,Preve Costruzioni SpA,DEAL - Solutions that make the difference,Engineering 2K S.p.A.,INFRATECH Consorzio Stabile Scarl,Ricciardello Costruzioni S.p.A.,Todini Costruzioni Generali Spa,TOTO HOLDING SPA,InfraEngineering,Renexia Spa,Clough,Terna SpA,RFI Rete Ferroviaria Italiana,Saipem,Eni
Colombo Costruzioni S.p.A.,0.0,1.0,0.91,0.8290000000000001,0.7561,0.69049,0.631441,0.5782969000000001,0.5304672100000001,0.4874204890000001,0.44867844010000013,0.41381059609000004,0.3824295364810001,0.35418658283290005,0.3287679245496101,0.3058911320946491,0.28530201888518414,0.26677181699666574,0.25009463529699916,0.2350851717672993,0.22157665459056936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Impresa Percassi,1.0,0.0,0.91,0.8290000000000001,0.69049,0.4874204890000001,0.631441,0.7561,0.3824295364810001,0.28530201888518414,0.3287679245496101,0.44867844010000013,0.35418658283290005,0.41381059609000004,0.3058911320946491,0.0,0.26677181699666574,0.25009463529699916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2350851717672993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782969000000001,0.5304672100000001,0.22157665459056936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Impresa Pizzarotti & C. S.p.A.,0.5782969000000001,0.5304672100000001,0.0,0.41381059609000004,0.0,0.0,0.7561,1.0,0.22157665459056936,0.0,0.0,0.91,0.8290000000000001,0.631441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058911320946491,0.0,0.0,0.0,0.0,0.25009463529699916,0.35418658283290005,0.3824295364810001,0.69049,0.0,0.28530201888518414,0.0,0.0,0.3287679245496101,0.44867844010000013,0.26677181699666574,0.0,0.0,0.0,0.0,0.0,0.0,0.4874204890000001,0.2350851717672993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De Sanctis Costruzioni SpA,1.0,0.8290000000000001,0.91,0.0,0.35418658283290005,0.3058911320946491,0.7561,0.69049,0.2350851717672993,0.3824295364810001,0.631441,0.5782969000000001,0.44867844010000013,0.4874204890000001,0.26677181699666574,0.0,0.5304672100000001,0.0,0.0,0.25009463529699916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3287679245496101,0.0,0.0,0.0,0.0,0.41381059609000004,0.28530201888518414,0.22157665459056936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techbau S.p.A.,1.0,0.91,0.8290000000000001,0.631441,0.0,0.7561,0.5782969000000001,0.4874204890000001,0.5304672100000001,0.3058911320946491,0.41381059609000004,0.3824295364810001,0.28530201888518414,0.3287679245496101,0.44867844010000013,0.0,0.0,0.35418658283290005,0.0,0.22157665459056936,0.26677181699666574,0.0,0.2350851717672993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25009463529699916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carron Spa,1.0,0.91,0.5782969000000001,0.44867844010000013,0.631441,0.0,0.7561,0.41381059609000004,0.5304672100000001,0.28530201888518414,0.26677181699666574,0.3287679245496101,0.35418658283290005,0.3824295364810001,0.4874204890000001,0.3058911320946491,0.22157665459056936,0.2350851717672993,0.0,0.0,0.69049,0.0,0.0,0.0,0.0,0.0,0.25009463529699916,0.8290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gruppo ICM,0.631441,0.5304672100000001,1.0,0.5782969000000001,0.26677181699666574,0.41381059609000004,0.0,0.91,0.3058911320946491,0.3824295364810001,0.2350851717672993,0.8290000000000001,0.7561,0.69049,0.0,0.0,0.28530201888518414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4874204890000001,0.0,0.0,0.0,0.0,0.22157665459056936,0.35418658283290005,0.3287679245496101,0.44867844010000013,0.0,0.0,0.0,0.0,0.25009463529699916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Webuild,0.0,0.25009463529699916,0.91,0.0,0.0,0.0,0.4874204890000001,0.0,0.0,0.22157665459056936,0.0,0.7561,0.69049,0.3824295364810001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35418658283290005,0.0,0.0,0.0,0.0,0.0,0.631441,0.5782969000000001,0.8290000000000001,0.0,0.0,0.0,0.0,0.5304672100000001,1.0,0.41381059609000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44867844010000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3287679245496101,0.3058911320946491,0.28530201888518414,0.26677181699666574,0.2350851717672993
CMB Società cooperativa Muratori e Braccianti di Carpi,1.0,0.8290000000000001,0.91,0.3824295364810001,0.5304672100000001,0.5782969000000001,0.69049,0.7561,0.0,0.26677181699666574,0.3058911320946491,0.44867844010000013,0.631441,0.4874204890000001,0.41381059609000004,0.25009463529699916,0.2350851717672993,0.22157665459056936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28530201888518414,0.0,0.35418658283290005,0.3287679245496101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csc costruzioni sa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
